{'loss': '0.2348', 'grad_norm': '0.6887', 'learning_rate': '7.723e-05', 'entropy': '0.2509', 'num_tokens': '2.167e+05', 'mean_token_accuracy': '0.9449', 'epoch': '1.146'}
{'loss': '0.2429', 'grad_norm': '0.6946', 'learning_rate': '7.708e-05', 'entropy': '0.2379', 'num_tokens': '2.18e+05', 'mean_token_accuracy': '0.9456', 'epoch': '1.153'}
{'loss': '0.2417', 'grad_norm': '0.5964', 'learning_rate': '7.693e-05', 'entropy': '0.2496', 'num_tokens': '2.195e+05', 'mean_token_accuracy': '0.9457', 'epoch': '1.161'}
{'loss': '0.2512', 'grad_norm': '1.45', 'learning_rate': '7.679e-05', 'entropy': '0.2246', 'num_tokens': '2.209e+05', 'mean_token_accuracy': '0.9435', 'epoch': '1.168'}
{'loss': '0.1156', 'grad_norm': '0.6209', 'learning_rate': '7.664e-05', 'entropy': '0.1497', 'num_tokens': '2.221e+05', 'mean_token_accuracy': '0.9717', 'epoch': '1.175'}
{'loss': '0.2392', 'grad_norm': '0.8634', 'learning_rate': '7.65e-05', 'entropy': '0.2247', 'num_tokens': '2.234e+05', 'mean_token_accuracy': '0.9442', 'epoch': '1.182'}
{'loss': '0.1356', 'grad_norm': '0.6659', 'learning_rate': '7.635e-05', 'entropy': '0.1573', 'num_tokens': '2.248e+05', 'mean_token_accuracy': '0.9649', 'epoch': '1.19'}
{'loss': '0.2111', 'grad_norm': '0.525', 'learning_rate': '7.62e-05', 'entropy': '0.198', 'num_tokens': '2.261e+05', 'mean_token_accuracy': '0.9545', 'epoch': '1.197'} 
{'loss': '0.1405', 'grad_norm': '0.4951', 'learning_rate': '7.606e-05', 'entropy': '0.1868', 'num_tokens': '2.274e+05', 'mean_token_accuracy': '0.9631', 'epoch': '1.204'}
{'loss': '0.211', 'grad_norm': '0.9204', 'learning_rate': '7.591e-05', 'entropy': '0.1942', 'num_tokens': '2.289e+05', 'mean_token_accuracy': '0.9494', 'epoch': '1.212'}
{'loss': '0.2809', 'grad_norm': '0.5847', 'learning_rate': '7.577e-05', 'entropy': '0.225', 'num_tokens': '2.307e+05', 'mean_token_accuracy': '0.9453', 'epoch': '1.219'}
{'loss': '0.29', 'grad_norm': '0.6674', 'learning_rate': '7.562e-05', 'entropy': '0.2566', 'num_tokens': '2.323e+05', 'mean_token_accuracy': '0.9345', 'epoch': '1.226'}
{'loss': '0.159', 'grad_norm': '0.6864', 'learning_rate': '7.547e-05', 'entropy': '0.1681', 'num_tokens': '2.339e+05', 'mean_token_accuracy': '0.9619', 'epoch': '1.234'}
{'loss': '0.2469', 'grad_norm': '0.8213', 'learning_rate': '7.533e-05', 'entropy': '0.2157', 'num_tokens': '2.352e+05', 'mean_token_accuracy': '0.9488', 'epoch': '1.241'}
{'loss': '0.1909', 'grad_norm': '0.4725', 'learning_rate': '7.518e-05', 'entropy': '0.1819', 'num_tokens': '2.365e+05', 'mean_token_accuracy': '0.9568', 'epoch': '1.248'}
{'loss': '0.1301', 'grad_norm': '0.5075', 'learning_rate': '7.504e-05', 'entropy': '0.1569', 'num_tokens': '2.378e+05', 'mean_token_accuracy': '0.9666', 'epoch': '1.255'}
{'loss': '0.2024', 'grad_norm': '0.523', 'learning_rate': '7.489e-05', 'entropy': '0.2124', 'num_tokens': '2.392e+05', 'mean_token_accuracy': '0.9531', 'epoch': '1.263'}
{'loss': '0.2023', 'grad_norm': '0.6784', 'learning_rate': '7.474e-05', 'entropy': '0.1957', 'num_tokens': '2.406e+05', 'mean_token_accuracy': '0.9568', 'epoch': '1.27'}
{'loss': '0.1863', 'grad_norm': '0.6672', 'learning_rate': '7.46e-05', 'entropy': '0.1812', 'num_tokens': '2.418e+05', 'mean_token_accuracy': '0.9613', 'epoch': '1.277'}
{'loss': '0.1204', 'grad_norm': '0.4916', 'learning_rate': '7.445e-05', 'entropy': '0.1626', 'num_tokens': '2.431e+05', 'mean_token_accuracy': '0.9719', 'epoch': '1.285'}
{'loss': '0.2141', 'grad_norm': '0.5552', 'learning_rate': '7.431e-05', 'entropy': '0.1931', 'num_tokens': '2.446e+05', 'mean_token_accuracy': '0.9541', 'epoch': '1.292'}
{'loss': '0.08382', 'grad_norm': '0.6237', 'learning_rate': '7.416e-05', 'entropy': '0.128', 'num_tokens': '2.458e+05', 'mean_token_accuracy': '0.9736', 'epoch': '1.299'}
{'loss': '0.2929', 'grad_norm': '0.6768', 'learning_rate': '7.401e-05', 'entropy': '0.2442', 'num_tokens': '2.473e+05', 'mean_token_accuracy': '0.9427', 'epoch': '1.307'}
{'loss': '0.2405', 'grad_norm': '0.6836', 'learning_rate': '7.387e-05', 'entropy': '0.2199', 'num_tokens': '2.488e+05', 'mean_token_accuracy': '0.951', 'epoch': '1.314'}
{'loss': '0.1755', 'grad_norm': '0.5986', 'learning_rate': '7.372e-05', 'entropy': '0.1765', 'num_tokens': '2.502e+05', 'mean_token_accuracy': '0.9621', 'epoch': '1.321'}
{'loss': '0.2401', 'grad_norm': '0.7337', 'learning_rate': '7.358e-05', 'entropy': '0.2171', 'num_tokens': '2.516e+05', 'mean_token_accuracy': '0.947', 'epoch': '1.328'}
